growth_rate,discount_rate,enterprise_value
0.02,0.075,31957486.630584046
0.02,0.08,29057973.585304335
0.02,0.085,26641618.008534342
0.02,0.09,24596924.098470043
0.02,0.095,22844251.94101685
0.03,0.075,33410009.6103533
0.03,0.08,30366856.22330825
0.03,0.085,27830992.784044143
0.03,0.09,25685350.236737415
0.03,0.095,23846307.8848076
0.04,0.075,34917294.06942994
0.04,0.08,31724843.621912353
0.04,0.085,29064770.650447883
0.04,0.09,26814212.167017385
0.04,0.095,24885409.07309855
0.05,0.075,36480911.71261506
0.05,0.08,33133341.695093073
0.05,0.085,30344219.806588054
0.05,0.09,27984661.959071785
0.05,0.095,25962608.397470824
0.06,0.075,38102464.32312841
0.06,0.08,34593783.22354178
0.06,0.085,31670632.65129232
0.06,0.09,29197873.634889476
0.06,0.095,27078978.782951422
